playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penaltyminutesdrawn
8480336,2023,Sean Walker,COL,D,81,1557.77,2087,150,311,29,10,19,9,10,1,0,1,3,2,1,127,118,41,25,0,0,23,50,7,14
8481641,2023,Joel Kiviranta,COL,L,56,551,875,48,78,9,3,6,3,3,0,0,0,0,0,0,31,78,19,7,2,5,6,12,11,24
8482147,2023,Jean-Luc Foudy,COL,C,4,25.75,44,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
8478038,2023,Devon Toews,COL,D,82,1921.18,2134,160,350,50,12,38,16,22,5,0,5,1,0,1,110,74,57,46,0,0,9,18,11,24
8482712,2023,Oskar Olausson,COL,R,1,11.83,16,2,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0
8477501,2023,Valeri Nichushkin,COL,R,54,1152.92,1312,158,272,53,28,25,17,8,18,13,5,2,0,2,24,74,29,23,2,5,11,22,12,24
8477492,2023,Nathan MacKinnon,COL,C,82,1870.77,1952,405,692,140,51,89,50,39,42,7,35,0,0,0,69,55,42,82,607,707,17,32,32,66
8484259,2023,Ondrej Pavel,COL,C,2,12.2,20,3,5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,3,6,1,2,0,0
8477476,2023,Artturi Lehkonen,COL,L,45,831.22,1016,103,169,34,16,18,10,8,12,7,5,0,0,0,18,49,20,15,9,24,7,14,4,10
8471699,2023,Andrew Cogliano,COL,C,75,795.73,1315,61,103,19,6,13,10,3,0,0,0,4,1,3,40,33,13,14,54,109,9,16,18,36
