playerid,season,name,team,position,games_played,mins_played,shifts,shots_on_goal,shot_attempts,points,goals,assists,primary_assists,secondary_assists,blocked_shots,hits,takeaways,giveaways,faceoffswon,faceoffslost,penalties,penalty_mins,penaltiesdrawn,penalityminutesdrawn,pp_points,pp_goals,pp_assists,pk_points,pk_goals,pk_assists
8480068,2021,Ryan Poehling,MTL,C,57,695.13,961,92,138,17,9,8,5,3,27,40,21,24,227,262,3,6,8,16,2,2,0,0,0,0
8478868,2021,Christian Jaros,NJD,D,11,121.12,177,9,21,0,0,0,0,0,10,21,1,5,0,0,1,2,0,0,0,0,0,0,0,0
8481167,2021,Brayden Pachal,VGK,D,2,19.52,29,1,3,0,0,0,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0
8475235,2021,Nicolas Deslauriers,MIN,L,81,920.6,1274,90,158,13,8,5,3,2,49,263,7,14,1,3,27,93,22,83,0,0,0,0,0,0
8480762,2021,Eric Robinson,CBJ,L,67,930.77,1275,104,187,27,10,17,10,7,20,95,30,12,2,2,9,18,8,16,0,0,0,2,2,0
8476539,2021,Jonathan Marchessault,VGK,C,76,1336.02,1606,251,413,66,30,36,24,12,17,61,38,46,43,57,13,26,8,16,19,5,14,0,0,0
8476437,2021,Victor Rask,SEA,C,47,573.18,710,58,95,21,9,12,6,6,5,15,14,14,89,87,1,2,1,2,1,0,1,0,0,0
8474709,2021,Matt Martin,NYI,L,71,812.22,1152,66,106,7,3,4,3,1,26,235,11,17,8,11,21,60,15,48,0,0,0,0,0,0
8479369,2021,Andrew Peeke,CBJ,D,82,1761.08,2013,72,167,15,2,13,4,9,169,191,15,31,0,0,27,60,15,36,0,0,0,0,0,0
8476329,2021,Travis Boyd,ARI,C,74,1222.15,1692,88,155,35,17,18,11,7,55,71,20,28,420,507,17,34,11,22,4,2,2,0,0,0
8481533,2021,Trevor Zegras,ANA,C,75,1343.03,1580,181,333,61,23,38,21,17,27,56,40,71,217,327,19,40,25,50,17,9,8,0,0,0
8477215,2021,Danny DeKeyser,DET,D,59,1091.75,1438,57,119,11,0,11,6,5,102,49,7,21,0,0,13,26,0,0,0,0,0,0,0,0
8480007,2021,Jonas Rondbjerg,VGK,R,30,300.37,432,30,50,6,2,4,2,2,11,13,8,5,0,2,2,4,3,6,0,0,0,0,0,0
8475722,2021,Jason Zucker,PIT,L,41,607.63,739,102,146,17,8,9,5,4,20,66,15,22,4,11,6,15,8,21,1,1,0,0,0,0
8479442,2021,Troy Stecher,LAK,D,29,483.38,601,50,87,3,1,2,1,1,38,33,7,19,0,0,5,13,1,5,0,0,0,0,0,0
8477933,2021,Sam Reinhart,FLA,C,78,1385.2,1596,186,325,82,33,49,31,18,30,49,37,43,174,185,5,13,12,27,30,16,14,2,0,2
8479985,2021,Cale Fleury,SEA,D,2,25.98,40,2,4,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8475169,2021,Evander Kane,EDM,L,43,836.37,921,152,260,39,22,17,9,8,11,135,16,27,9,11,25,50,13,26,4,3,1,3,2,1
8482197,2021,Adam Raska,SJS,R,5,40.28,62,2,7,0,0,0,0,0,0,15,0,2,0,0,2,7,4,11,0,0,0,0,0,0
8477511,2021,Anthony Mantha,WSH,R,37,561.25,694,82,132,23,9,14,11,3,18,46,13,13,3,1,7,14,4,8,2,0,2,0,0,0
8475178,2021,Zack Kassian,EDM,R,58,683.5,889,58,103,19,6,13,10,3,6,154,13,22,3,4,18,53,9,29,2,2,0,0,0,0
8483397,2021,Marc McLaughlin,BOS,C,11,115.35,166,12,19,3,3,0,0,0,2,15,2,4,5,10,3,8,1,2,0,0,0,0,0,0
8476404,2021,Andy Andreoff,NYI,C,6,59.92,81,6,9,1,1,0,0,0,1,11,1,3,9,8,0,0,0,0,0,0,0,0,0,0
8477631,2021,Brandon Baddock,MTL,L,1,8.4,13,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8477979,2021,Nicolas Aube-Kubel,COL,R,74,726.4,1031,87,152,23,11,12,9,3,18,140,17,20,3,9,22,47,9,21,0,0,0,0,0,0
8478415,2021,Jakub Zboril,BOS,D,10,157.25,212,13,20,3,0,3,1,2,10,24,1,4,0,0,2,4,1,2,0,0,0,0,0,0
8480071,2021,Robin Salo,NYI,D,21,350.52,455,24,43,5,1,4,3,1,23,7,5,14,0,0,2,4,0,0,2,0,2,0,0,0
8481518,2021,Nolan Foote,NJD,L,7,72.57,100,10,15,4,3,1,1,0,1,8,1,2,0,3,0,0,0,0,0,0,0,0,0,0
8477034,2021,Jaycob Megna,SJS,D,44,841.3,1142,40,84,8,2,6,3,3,92,71,18,23,0,0,8,16,2,4,0,0,0,0,0,0
8480797,2021,Joel Farabee,PHI,L,63,1107.98,1493,119,208,34,17,17,10,7,38,73,25,22,41,102,17,40,26,60,3,1,2,1,1,0
8480036,2021,Miro Heiskanen,DAL,D,70,1742.1,1927,156,312,36,5,31,18,13,92,52,45,84,0,0,12,24,10,20,10,2,8,0,0,0
